,,,-12.4000E-3,315.00000E-3,
,,,-12.3800E-3,314.20001E-3,
,,,-12.3600E-3,315.00000E-3,
,,,-12.3400E-3,314.59999E-3,
,,,-12.3200E-3,315.00000E-3,
,,,-12.3000E-3,314.59999E-3,
,,,-12.2800E-3,314.20001E-3,
,,,-12.2600E-3,314.20001E-3,
,,,-12.2400E-3,315.00000E-3,
,,,-12.2200E-3,315.00000E-3,
,,,-12.2000E-3,314.20001E-3,
,,,-12.1800E-3,314.59999E-3,
,,,-12.1600E-3,314.20001E-3,
,,,-12.1400E-3,314.59999E-3,
,,,-12.1200E-3,314.59999E-3,
,,,-12.1000E-3,314.59999E-3,
,,,-12.0800E-3,315.00000E-3,
,,,-12.0600E-3,315.00000E-3,
,,,-12.0400E-3,314.20001E-3,
,,,-12.0200E-3,315.00000E-3,
,,,-12.0000E-3,314.59999E-3,
,,,-11.9800E-3,315.00000E-3,
,,,-11.9600E-3,315.00000E-3,
,,,-11.9400E-3,314.59999E-3,
,,,-11.9200E-3,314.20001E-3,
,,,-11.9000E-3,315.00000E-3,
,,,-11.8800E-3,315.00000E-3,
,,,-11.8600E-3,315.00000E-3,
,,,-11.8400E-3,315.00000E-3,
,,,-11.8200E-3,313.80001E-3,
,,,-11.8000E-3,315.00000E-3,
,,,-11.7800E-3,315.00000E-3,
,,,-11.7600E-3,315.40000E-3,
,,,-11.7400E-3,314.20001E-3,
,,,-11.7200E-3,315.00000E-3,
,,,-11.7000E-3,315.40000E-3,
,,,-11.6800E-3,313.80001E-3,
,,,-11.6600E-3,314.20001E-3,
,,,-11.6400E-3,315.00000E-3,
,,,-11.6200E-3,315.00000E-3,
,,,-11.6000E-3,315.00000E-3,
,,,-11.5800E-3,315.40000E-3,
,,,-11.5600E-3,315.00000E-3,
,,,-11.5400E-3,315.00000E-3,
,,,-11.5200E-3,315.80001E-3,
,,,-11.5000E-3,314.20001E-3,
,,,-11.4800E-3,315.40000E-3,
,,,-11.4600E-3,315.00000E-3,
,,,-11.4400E-3,315.00000E-3,
,,,-11.4200E-3,315.00000E-3,
,,,-11.4000E-3,314.59999E-3,
,,,-11.3800E-3,315.00000E-3,
,,,-11.3600E-3,315.00000E-3,
,,,-11.3400E-3,315.80001E-3,
,,,-11.3200E-3,314.59999E-3,
,,,-11.3000E-3,315.00000E-3,
,,,-11.2800E-3,315.40000E-3,
,,,-11.2600E-3,314.59999E-3,
,,,-11.2400E-3,315.40000E-3,
,,,-11.2200E-3,315.00000E-3,
,,,-11.2000E-3,315.40000E-3,
,,,-11.1800E-3,315.00000E-3,
,,,-11.1600E-3,314.20001E-3,
,,,-11.1400E-3,315.00000E-3,
,,,-11.1200E-3,315.40000E-3,
