Run started at:  2/5/2009 5:28:28 PM
Event	Real Time (min)	Lifetime (microsec)
523	   264.87	 0.2510
524	   265.30	 1.5890
525	   266.13	 0.1210
526	   267.47	 0.2410
527	   267.81	 1.2640
528	   268.07	 0.3600
529	   269.24	 0.7530
530	   270.91	 5.5970
531	   271.84	 0.1190
532	   272.26	 0.1210
533	   272.35	 0.3300
534	   272.77	 0.5200
535	   273.36	 0.5100
536	   274.37	 0.1160
537	   274.46	 0.3000
538	   275.13	 0.2710
539	   275.47	 0.9500
540	   276.14	 0.2110
541	   276.40	 0.1200
542	   276.90	 0.6500
543	   277.24	 0.5070
544	   277.33	 0.8750
545	   277.67	 0.5780
546	   277.76	 4.5900
547	   278.68	 0.5050
548	   279.10	 0.6170
549	   279.61	 6.1900
550	   280.20	 0.1410
551	   280.45	 0.1180
552	   281.71	 0.7090
553	   282.05	 1.8610
554	   282.31	 2.0130
555	   282.81	 6.5510
556	   283.07	 2.9200
557	   283.66	 6.3140
558	   283.83	 0.1110
559	   283.92	 2.6650
560	   284.01	 2.5570
561	   284.18	 0.2710
562	   285.10	 2.6590
563	   285.27	 0.3980
564	   285.70	 2.4600
565	   286.29	 0.3040
566	   286.62	 2.2910
567	   287.13	 6.0020
568	   287.64	 0.1900
569	   287.72	 0.5700
570	   288.15	 3.7610
571	   288.57	 3.5520
572	   289.49	 5.6930
573	   289.66	 1.9780
574	   289.84	 2.7710
575	   289.93	 2.1440
576	   290.77	 1.3000
577	   290.94	 1.1200
578	   291.03	 0.7260
579	   291.12	 1.7400
580	   292.45	 0.1600
581	   293.71	 1.9100
582	   293.97	 1.7890
583	   294.97	 1.5380
584	   295.40	 0.5990
585	   296.07	 0.1190
586	   296.66	 1.7590
587	   297.00	 0.2610
588	   297.75	 5.4030
589	   297.84	 4.0100
590	   298.10	 3.3400
591	   299.02	 0.3900
592	   300.11	 0.5800
593	   300.20	 2.0510
594	   300.87	 0.1530
595	   301.63	 1.3000
596	   302.13	 0.7890
597	   302.47	 0.1200
598	   302.73	 0.2610
599	   302.82	 4.8470
600	   303.49	 2.7000
601	   303.66	 2.1080
602	   304.42	 0.2160
603	   304.59	 0.1320
604	   305.18	 9.6600
605	   305.93	 0.6770
606	   307.61	 0.5890
607	   307.70	 2.0270
608	   308.29	 0.4600
609	   308.71	 0.1600
610	   309.55	 0.1650
611	   310.05	 0.1270
612	   310.39	 0.1200
613	   310.48	10.4310
614	   310.65	 0.1270
615	   311.08	 2.4570
616	   311.75	 1.8000
617	   312.51	 0.4530
618	   312.68	 1.0680
619	   313.10	 0.1190
620	   314.02	 3.4800
621	   314.45	 0.1190
622	   316.03	 3.1220
623	   316.12	 0.6600
624	   316.21	 1.0900
625	   317.22	 1.0910
626	   317.81	 0.1200
627	   317.98	 0.3680
628	   318.40	 0.7630
629	   318.83	 3.3460
630	   319.83	 4.3980
631	   320.42	 0.9190
632	   320.76	 0.9900
633	   322.52	 4.9310
634	   322.60	 0.1200
635	   323.03	 3.2400
636	   323.28	 0.1200
637	   323.37	 0.1200
638	   324.71	 2.9800
639	   324.97	 0.4790
640	   325.31	 8.5580
641	   325.48	 0.4000
642	   325.57	 0.1200
643	   326.16	 1.7690
644	   326.58	 0.3010
645	   326.75	 1.8370
646	   328.26	 0.6690
647	   328.76	 1.6660
648	   329.10	 0.5990
649	   329.69	 0.9020
650	   329.86	 5.6900
651	   329.95	 0.2600
652	   330.13	 3.6480
653	   331.05	 0.1200
654	   332.05	 4.2890
655	   332.31	 0.7760
656	   332.98	 1.2990
657	   333.15	 0.6490
658	   333.58	 2.2200
659	   335.25	 2.7370
660	   335.51	 1.9520
661	   335.60	 2.4020
662	   335.85	 3.5290
663	   336.69	 6.1300
664	   337.20	 2.1810
665	   337.37	 4.3440
666	   337.46	 0.6600
667	   337.88	 1.3090
668	   338.55	 0.8200
669	   338.73	17.3100
670	   339.40	 6.6110
671	   339.65	 0.1200
672	   340.58	 6.4710
673	   340.75	 3.2090
674	   340.92	 1.9820
675	   341.76	 7.9390
676	   342.77	 0.7590
677	   343.27	 0.5300
678	   344.86	 4.0990
679	   345.20	 4.6400
680	   346.79	 1.2140
681	   347.21	 0.4300
682	   347.38	 5.5490
683	   347.97	 2.6400
684	   348.56	 0.1700
685	   349.07	 0.1210
686	   349.32	 2.3980
687	   349.83	 0.4880
688	   350.34	 0.1200
689	   351.09	 0.1400
690	   351.43	 4.3400
691	   351.60	 2.8700
692	   351.86	 1.0460
693	   352.11	 0.1190
694	   352.20	 2.7300
695	   352.46	 0.1200
696	   352.55	 0.3350
697	   352.89	 0.6820
698	   352.98	 0.1210
699	   353.23	 0.7200
700	   353.49	 4.9700
701	   353.83	 0.6200
702	   354.58	 7.5400
703	   355.01	 0.6250
704	   355.43	 6.8360
705	   355.52	 3.0910
706	   355.86	 2.4690
707	   356.36	 0.1200
708	   357.12	 0.1200
709	   357.29	 0.8180
710	   357.55	 3.4100
711	   358.22	 0.1200
712	   358.39	 0.1110
713	   358.56	 0.7110
714	   358.82	 2.7790
715	   358.99	 0.3780
716	   359.08	 0.4820
717	   360.25	 2.6300
718	   360.51	 0.9000
719	   361.93	 1.2400
720	   362.27	 1.5090
721	   362.53	13.2310
722	   363.78	 1.5200
723	   363.87	 1.0400
724	   364.71	 0.1420
725	   364.88	 1.1900
726	   365.05	 0.8750
727	   365.14	 0.3900
728	   365.73	 0.1900
729	   366.41	 0.1120
730	   366.49	15.7200
731	   367.75	 1.3400
732	   368.51	 5.3800
733	   368.76	 1.2170
734	   369.18	 1.1300
735	   370.27	 0.1120
736	   370.36	 1.3980
737	   371.20	 2.6000
738	   372.38	 1.4000
739	   374.13	 1.9100
740	   376.05	 0.5310
741	   376.31	 0.3200
742	   376.98	 1.0580
743	   377.24	 0.3660
744	   377.91	 1.6250
745	   378.00	 7.3800
746	   378.17	 1.4710
747	   378.26	 0.1190
748	   378.35	 0.1200
749	   379.02	 1.4700
750	   379.36	 1.1090
751	   380.28	 0.7000
752	   380.54	 2.4510
753	   380.63	11.1790
754	   380.97	 2.3070
755	   381.47	 1.0800
756	   381.98	 2.5180
757	   382.15	 1.5400
758	   382.41	 0.7100
759	   382.50	 0.1140
760	   383.17	 0.9400
761	   383.26	 1.3260
762	   383.43	 0.3500
763	   384.02	 1.3660
764	   384.11	 1.0860
765	   385.03	 0.1190
766	   385.29	 3.1970
767	   385.38	 0.1200
768	   385.47	 0.8320
769	   385.55	 0.1120
770	   386.14	 1.0970
771	   386.48	 3.3380
772	   386.91	 0.3620
773	   387.41	 1.9910
774	   388.00	13.1500
775	   388.51	 2.5370
776	   388.59	 1.9880
777	   388.93	 0.7400
778	   389.02	 0.6630
779	   389.61	 2.5300
780	   389.87	 4.7510
781	   390.79	 3.3900
782	   390.88	 0.2070
783	   390.97	 2.6400
784	   391.14	 0.1220
785	   391.23	 4.6500
786	   391.65	 0.6660
787	   392.74	 3.0400
788	   393.08	 0.4800
789	   393.34	 0.2410
790	   393.92	 4.8300
791	   394.10	 1.0700
792	   394.52	 2.6950
793	   394.61	 1.5690
794	   395.78	 8.1700
795	   395.87	 0.2400
796	   395.96	 3.1890
797	   396.30	 0.5800
798	   396.55	 1.0320
799	   397.73	 0.3000
800	   397.98	 0.3630
801	   398.40	 0.2670
802	   398.49	 0.7910
803	   398.83	 1.1600
804	   399.51	 0.1200
805	   399.76	 2.9090
806	   399.94	 0.5490
807	   400.11	 4.9800
808	   401.03	 0.7630
809	   401.37	 1.0880
810	   401.63	 2.1810
811	   402.63	 0.3700
812	   403.31	 1.8550
813	   403.39	 9.9800
814	   403.82	 3.0100
815	   404.07	 1.1700
816	   404.25	 3.3300
817	   404.58	 0.8190
818	   404.67	 0.2500
819	   404.93	 2.6410
820	   405.43	 0.3510
821	   406.52	 1.1680
822	   406.70	 8.5000
823	   406.79	 1.2660
824	   407.79	 6.7580
825	   408.05	 0.3600
826	   408.80	 0.9540
827	   409.23	 1.2290
828	   410.15	 3.4690
829	   410.57	 0.7700
830	   410.83	 0.1200
831	   411.42	 1.9380
832	   413.26	 4.3330
833	   413.93	 1.1200
834	   414.18	 2.1200
835	   414.86	 2.6090
836	   415.03	 0.4290
837	   415.45	 7.8480
838	   415.79	 1.8490
839	   415.96	 3.4550
840	   416.38	 2.2330
841	   416.72	 1.2900
842	   416.81	 1.0930
843	   416.98	 0.4300
844	   417.07	 2.1400
845	   417.33	 1.4790
846	   417.75	 9.2520
847	   419.09	 1.0200
848	   419.18	 0.2850
849	   419.35	 0.3880
850	   419.94	 0.2500
851	   420.70	 4.5510
852	   421.12	 0.8980
853	   421.38	 0.9320
854	   422.22	 0.6400
855	   422.55	 4.0000
856	   422.81	 3.2590
857	   423.90	 3.9160
858	   424.24	 0.6820
859	   424.66	 2.4060
860	   425.50	 0.5690
861	   425.76	 0.5690
862	   426.26	 2.9990
863	   427.02	 0.3830
864	   427.11	 0.4900
865	   427.78	 2.2540
866	   429.54	 2.2410
867	   430.37	 3.3790
868	   430.46	 5.1300
869	   430.55	 0.3700
870	   430.81	 2.5400
871	   431.06	 0.1240
872	   431.65	 0.4870
873	   431.99	 0.6630
874	   432.08	 0.3100
875	   432.34	 1.8400
876	   432.43	 0.3200
877	   432.60	 3.2890
878	   433.94	 1.3890
879	   435.44	 2.1700
880	   436.28	 0.1260
881	   436.46	 9.7340
882	   437.21	 0.2130
883	   437.30	 0.2020
884	   437.64	 4.2870
885	   437.81	 3.5660
886	   438.07	 0.1200
887	   438.91	 1.1600
888	   439.91	 0.4910
889	   440.00	 7.5100
890	   441.84	 0.9550
891	   441.93	 1.2930
892	   442.69	 2.0930
893	   442.78	 3.1880
894	   443.11	 0.7430
895	   444.62	 2.3500
896	   444.71	 1.7560
897	   445.13	 2.4500
898	   445.64	 1.9340
899	   446.06	 2.7900
900	   446.15	 1.7800
901	   446.32	 0.1200
902	   446.41	 5.1330
903	   447.00	 0.6720
904	   447.59	 1.0310
905	   448.51	 0.6180
906	   449.52	 1.5500
907	   449.61	 1.8700
908	   449.78	 0.2600
909	   450.12	 1.7390
910	   450.55	 1.7700
911	   450.72	 3.1930
912	   451.72	 4.8500
913	   453.06	 4.9860
914	   453.82	 0.1890
915	   454.33	 0.1200
916	   455.92	 0.5100
917	   456.59	 1.9240
918	   456.68	 1.5680
919	   456.77	 9.7610
920	   456.94	 1.5170
921	   457.36	 5.6080
922	   457.87	 0.2700
923	   457.96	 0.6920
924	   458.21	 1.2980
925	   459.05	 0.2680
926	   459.64	 0.1200
927	   459.81	 3.0130
928	   459.99	 0.1200
929	   460.91	 0.9900
930	   461.16	 0.9810
931	   461.84	 2.2900
932	   462.43	 0.5890
933	   463.18	 0.8700
934	   463.44	 1.1490
935	   464.19	 0.1380
936	   464.45	 0.3450
937	   464.70	 1.0170
938	   464.79	 1.0960
939	   464.88	 0.1200
940	   465.14	 0.1200
941	   465.23	 4.4580
942	   465.98	 0.1220
943	   466.49	 0.1260
944	   466.91	 2.2830
945	   467.00	 0.8400
946	   467.17	 0.7100
