273	     1.28	 0.3540	 0.0000	 0.0000
274	     1.28	 0.0520	 0.0000	 0.0000
275	     1.28	 0.1000	 0.0000	 0.0000
276	     1.29	 0.0340	 0.0000	 0.0000
277	     1.29	 0.0610	 0.0000	 0.0000
278	     1.30	 0.0980	 0.0000	 0.0000
279	     1.30	 0.1570	 0.0000	 0.0000
280	     1.31	 0.1470	 0.0000	 0.0000
281	     1.31	 0.3320	 0.0000	 0.0000
282	     1.32	 0.1260	 0.0000	 0.0000
283	     1.32	 0.2480	 0.0000	 0.0000
284	     1.33	 0.1100	 0.0000	 0.0000
285	     1.33	 0.0660	 0.0000	 0.0000
286	     1.34	 0.0420	 0.0000	 0.0000
287	     1.34	 0.2010	 0.0000	 0.0000
288	     1.35	 0.1460	 0.0000	 0.0000
289	     1.35	 0.1750	 0.0000	 0.0000
290	     1.36	 0.1280	 0.0000	 0.0000
291	     1.36	 0.3850	 0.0000	 0.0000
292	     1.37	 0.1040	 0.0000	 0.0000
293	     1.37	 0.0840	 0.0000	 0.0000
294	     1.37	 0.0850	 0.0000	 0.0000
295	     1.38	 0.4060	 0.0000	 0.0000
296	     1.38	 0.0420	 0.0000	 0.0000
297	     1.39	 0.1530	 0.0000	 0.0000
298	     1.39	 0.2370	 0.0000	 0.0000
299	     1.40	 0.5350	 0.0000	 0.0000
300	     1.40	 0.0580	 0.0000	 0.0000
301	     1.41	 0.0580	 0.0000	 0.0000
302	     1.41	 0.3410	 0.0000	 0.0000
303	     1.42	 0.0780	 0.0000	 0.0000
304	     1.42	 0.1460	 0.0000	 0.0000
305	     1.43	 0.4690	 0.0000	 0.0000
306	     1.43	 0.2980	 0.0000	 0.0000
307	     1.44	 0.0600	 0.0000	 0.0000
308	     1.44	 0.1480	 0.0000	 0.0000
309	     1.44	 0.1380	 0.0000	 0.0000
310	     1.45	 0.4130	 0.0000	 0.0000
311	     1.46	 0.3020	 0.0000	 0.0000
312	     1.46	 0.2230	 0.0000	 0.0000
313	     1.46	 0.1280	 0.0000	 0.0000
314	     1.47	 0.0900	 0.0000	 0.0000
315	     1.47	 0.2460	 0.0000	 0.0000
316	     1.48	 0.1770	 0.0000	 0.0000
317	     1.48	 0.0490	 0.0000	 0.0000
318	     1.49	 0.1390	 0.0000	 0.0000
319	     1.49	 0.1900	 0.0000	 0.0000
320	     1.50	 0.1250	 0.0000	 0.0000
321	     1.50	 0.1180	 0.0000	 0.0000
322	     1.51	 0.0740	 0.0000	 0.0000
323	     1.51	 0.2340	 0.0000	 0.0000
324	     1.52	 0.1210	 0.0000	 0.0000
325	     1.52	 0.2080	 0.0000	 0.0000
326	     1.53	 0.0510	 0.0000	 0.0000
327	     1.53	 0.2680	 0.0000	 0.0000
328	     1.54	 0.1990	 0.0000	 0.0000
329	     1.54	 0.0980	 0.0000	 0.0000
330	     1.55	 0.5640	 0.0000	 0.0000
331	     1.55	 0.0490	 0.0000	 0.0000
332	     1.56	 0.1020	 0.0000	 0.0000
333	     1.56	 0.0430	 0.0000	 0.0000
334	     1.57	 0.1890	 0.0000	 0.0000
335	     1.57	 0.2490	 0.0000	 0.0000
336	     1.58	 0.1230	 0.0000	 0.0000
337	     1.58	 0.1420	 0.0000	 0.0000
338	     1.59	 0.2230	 0.0000	 0.0000
339	     1.59	 0.3760	 0.0000	 0.0000
340	     1.60	 0.0730	 0.0000	 0.0000
341	     1.60	 0.0140	 0.0000	 0.0000
342	     1.60	 0.6130	 0.0000	 0.0000
343	     1.61	 0.0700	 0.0000	 0.0000
344	     1.61	 0.1030	 0.0000	 0.0000
345	     1.62	 0.1880	 0.0000	 0.0000
346	     1.62	 0.1010	 0.0000	 0.0000
347	     1.63	 0.2220	 0.0000	 0.0000
348	     1.63	 0.0690	 0.0000	 0.0000
349	     1.64	 0.1300	 0.0000	 0.0000
350	     1.64	 0.1480	 0.0000	 0.0000
351	     1.65	 0.1340	 0.0000	 0.0000
352	     1.65	 0.1970	 0.0000	 0.0000
353	     1.66	 0.1320	 0.0000	 0.0000
354	     1.66	 0.2210	 0.0000	 0.0000
355	     1.67	 0.1080	 0.0000	 0.0000
356	     1.67	 0.0420	 0.0000	 0.0000
357	     1.68	 0.3330	 0.0000	 0.0000
358	     1.68	 0.2230	 0.0000	 0.0000
359	     1.69	 0.1420	 0.0000	 0.0000
360	     1.69	 0.2720	 0.0000	 0.0000
361	     1.69	 0.0500	 0.0000	 0.0000
362	     1.70	 0.0670	 0.0000	 0.0000
363	     1.71	 0.4830	 0.0000	 0.0000
364	     1.71	 0.0700	 0.0000	 0.0000
365	     1.71	 0.3460	 0.0000	 0.0000
366	     1.72	 0.1340	 0.0000	 0.0000
367	     1.72	 0.1520	 0.0000	 0.0000
368	     1.73	 0.0660	 0.0000	 0.0000
369	     1.73	 0.3820	 0.0000	 0.0000
370	     1.74	 0.8850	 0.0000	 0.0000
371	     1.74	 0.1070	 0.0000	 0.0000
372	     1.75	 0.0920	 0.0000	 0.0000
373	     1.75	 0.3280	 0.0000	 0.0000
374	     1.76	 0.1860	 0.0000	 0.0000
375	     1.76	 0.0510	 0.0000	 0.0000
376	     1.77	 0.0590	 0.0000	 0.0000
377	     1.77	 0.0380	 0.0000	 0.0000
378	     1.78	 0.3460	 0.0000	 0.0000
379	     1.78	 0.0910	 0.0000	 0.0000
380	     1.79	 0.2390	 0.0000	 0.0000
381	     1.79	 0.0150	 0.0000	 0.0000
382	     1.79	 0.2090	 0.0000	 0.0000
383	     1.80	 0.1980	 0.0000	 0.0000
384	     1.80	 0.1230	 0.0000	 0.0000
385	     1.81	 0.1240	 0.0000	 0.0000
386	     1.81	 0.1690	 0.0000	 0.0000
